Date,State,County,Species,Group,Strain
03/20/2024,New Mexico,Curry,Domestic cat,Domestic/Companion,EA/AM H5N1
03/20/2024,New Mexico,Curry,Domestic cat,Domestic/Companion,EA/AM H5N1
03/20/2024,Oklahoma,Harmon,Domestic cat,Domestic/Companion,EA/AM H5N1
03/19/2024,New Mexico,Curry,Domestic cat,Domestic/Companion,EA/AM H5N1
03/19/2024,Montana,Yellowstone,Domestic cat,Domestic/Companion,EA/AM H5N1
03/19/2024,Texas,Hartley,Domestic cat,Domestic/Companion,EA/AM H5N1
03/19/2024,Texas,Hartley,Domestic cat,Domestic/Companion,EA/AM H5N1
03/19/2024,Texas,Hartley,Domestic cat,Domestic/Companion,EA/AM H5N1
03/19/2024,Massachusetts,Essex,Harbor seal,Marine Mammals,EA/AM H5N1
03/18/2024,New York,Chenango,Bobcat,Domestic/Companion,EA/AM H5N1
03/11/2024,Kentucky,Bourbon,American mink,Wild Carnivores,EA/AM H5N1
03/11/2024,Montana,McCone,Striped skunk,Wild Carnivores,EA/AM H5N1
03/06/2024,New York,Greene,Raccoon,Wild Carnivores,EA H5N1
02/23/2024,Washington,Stevens,Striped skunk,Wild Carnivores,EA H5N1
02/23/2024,Washington,Stevens,Striped skunk,Wild Carnivores,EA H5N1
02/23/2024,Washington,Stevens,Striped skunk,Wild Carnivores,EA H5N1
02/23/2024,New Mexico,Bernalillo,Striped skunk,Wild Carnivores,EA/AM H5N1
01/31/2024,Vermont,Addison,Bobcat,Domestic/Companion,EA H5N1
01/30/2024,Montana,Granite,Mountain lion,Wild Carnivores,EA/AM H5N1
01/17/2024,California,Sacramento,Skunk (unidentified),Wild Carnivores,EA H5N1
01/16/2024,Missouri,Jackson,Red fox,Wild Carnivores,EA H5N1
01/10/2024,Utah,Washington,Striped skunk,Wild Carnivores,EA H5N1
01/10/2024,Utah,Washington,Striped skunk,Wild Carnivores,EA H5N1
01/10/2024,Utah,Washington,Striped skunk,Wild Carnivores,EA H5N1
01/10/2024,Utah,Washington,Striped skunk,Wild Carnivores,EA H5N1
01/09/2024,Florida,Brevard,Bottlenose dolphin,Marine Mammals,EA/AM H5N1
01/04/2024,Florida,Brevard,Bottlenose dolphin,Marine Mammals,EA/AM H5N1
01/04/2024,Florida,Brevard,Bottlenose dolphin,Marine Mammals,EA/AM H5N1
12/31/2023,Florida,Brevard,Bottlenose dolphin,Marine Mammals,EA/AM H5N1
12/28/2023,Florida,Brevard,Bottlenose dolphin,Marine Mammals,EA/AM H5N1
12/27/2023,Kentucky,Taylor,Raccoon,Wild Carnivores,EA H5N1
12/22/2023,Idaho,Ada,Striped skunk,Wild Carnivores,EA/AM H5N1
12/08/2023,Wyoming,Teton,Mountain lion,Wild Carnivores,EA/AM H5N1
12/05/2023,Montana,Flathead,Domestic cat,Domestic/Companion,EA/AM H5N1
12/01/2023,Washington,King,Bobcat,Domestic/Companion,EA H5N1
12/01/2023,Alaska,North Slope,Polar bear,Wild Carnivores,EA H5N1
11/22/2023,Montana,Missoula,Domestic cat,Domestic/Companion,EA/AM H5N1
10/16/2023,Kentucky,Carter,Raccoon,Wild Carnivores,EA/AM H5N1
10/07/2023,South Dakota,Jerauld,Domestic cat,Domestic/Companion,EA/AM H5N1
10/07/2023,South Dakota,Jerauld,Domestic cat,Domestic/Companion,EA/AM H5N1
10/07/2023,South Dakota,Jerauld,Domestic cat,Domestic/Companion,EA/AM H5N1
10/07/2023,South Dakota,Jerauld,Domestic cat,Domestic/Companion,EA H5N1
10/07/2023,South Dakota,Jerauld,Domestic cat,Domestic/Companion,EA H5N1
10/07/2023,South Dakota,Jerauld,Domestic cat,Domestic/Companion,EA/AM H5N1
10/01/2023,Alaska,North Slope,Polar bear,Wild Carnivores,EA H5N1
08/31/2023,Washington,Jefferson,Harbor seal,Marine Mammals,EA/AM H5N1
08/27/2023,Washington,Jefferson,Harbor seal,Marine Mammals,EA/AM H5N1
08/26/2023,Arizona,Navajo,Abert's squirrel,Rodents/Small Mammals,EA/AM H5N1
08/25/2023,Washington,Jefferson,Harbor seal,Marine Mammals,EA/AM H5N1
08/19/2023,Washington,Jefferson,Harbor seal,Marine Mammals,EA/AM H5N1
08/13/2023,Washington,Jefferson,Harbor seal,Marine Mammals,EA/AM H5N1
06/01/2023,Michigan,Alpena,Red fox,Wild Carnivores,EA H5N1
05/23/2023,Maine,York,Red fox,Wild Carnivores,EA/AM H5N1
05/12/2023,New York,Erie,Red fox,Wild Carnivores,EA/AM H5N1
05/12/2023,California,El Dorado,Raccoon,Wild Carnivores,EA/AM H5N1
05/09/2023,New York,Wayne,Red fox,Wild Carnivores,EA/AM H5N1
05/08/2023,California,El Dorado,Raccoon,Wild Carnivores,EA/AM H5N1
05/07/2023,Pennsylvania,Huntingdon,Red fox,Wild Carnivores,EA/AM H5N1
05/07/2023,Pennsylvania,Huntingdon,Red fox,Wild Carnivores,EA/AM H5N1
05/04/2023,California,El Dorado,Raccoon,Wild Carnivores,EA/AM H5N1
05/04/2023,California,El Dorado,Raccoon,Wild Carnivores,EA/AM H5N1
05/03/2023,New York,Cayuga,Red fox,Wild Carnivores,EA/AM H5N1
05/02/2023,Colorado,Routt,Striped skunk,Wild Carnivores,EA/AM H5N1
05/02/2023,Maine,York,Red fox,Wild Carnivores,EA/AM H5N1
05/01/2023,Minnesota,Cass,American black bear,Wild Carnivores,EA/AM H5N1
04/28/2023,Pennsylvania,Northampton,Red fox,Wild Carnivores,EA/AM H5N1
04/27/2023,Nebraska,Rock,Mountain lion,Wild Carnivores,EA/AM H5N1
04/27/2023,Oregon,Wallowa,Red fox,Wild Carnivores,EA/AM H5N1
04/27/2023,California,Mariposa,Fisher,Wild Carnivores,EA/AM H5N1
04/25/2023,Montana,Mineral,Mountain lion,Wild Carnivores,EA/AM H5N1
04/23/2023,Rhode Island,Washington,Red fox,Wild Carnivores,EA/AM H5N1
04/19/2023,New York,Tompkins,Virginia opossum,Rodents/Small Mammals,EA/AM H5N1
04/17/2023,New York,Tompkins,Red fox,Wild Carnivores,EA/AM H5N1
04/14/2023,Montana,Madison,Mountain lion,Wild Carnivores,EA/AM H5N1
04/13/2023,Montana,Rosebud,Striped skunk,Wild Carnivores,EA/AM H5N1
04/13/2023,New York,Monroe,Red fox,Wild Carnivores,EA H5N1
04/13/2023,New York,Wayne,Red fox,Wild Carnivores,EA/AM H5N1
04/10/2023,New York,Tompkins,Red fox,Wild Carnivores,EA/AM H5N1
04/10/2023,New York,Cattaraugus,Red fox,Wild Carnivores,EA/AM H5N1
04/08/2023,Montana,Yellowstone,Domestic cat,Domestic/Companion,EA/AM H5N1
04/06/2023,New York,Tompkins,Red fox,Wild Carnivores,EA/AM H5N1
04/06/2023,Minnesota,Hennepin,Red fox,Wild Carnivores,EA H5N1
04/05/2023,Wisconsin,Dane,Red fox,Wild Carnivores,EA/AM H5N1
04/03/2023,Wyoming,Goshen,Mountain lion,Wild Carnivores,EA H5N1
04/01/2023,Pennsylvania,Huntingdon,Red fox,Wild Carnivores,EA/AM H5N1
04/01/2023,Pennsylvania,Huntingdon,Red fox,Wild Carnivores,EA/AM H5N1
04/01/2023,Pennsylvania,Huntingdon,Red fox,Wild Carnivores,EA/AM H5N1
03/30/2023,Colorado,Boulder,Red fox,Wild Carnivores,EA/AM H5N1
03/30/2023,Colorado,Boulder,Red fox,Wild Carnivores,EA/AM H5N1
03/30/2023,Nebraska,Buffalo,Domestic cat,Domestic/Companion,EA/AM H5N1
03/28/2023,California,Modoc,Mountain lion,Wild Carnivores,EA/AM H5N1
03/28/2023,California,Modoc,Mountain lion,Wild Carnivores,EA/AM H5N1
03/28/2023,California,Modoc,Mountain lion,Wild Carnivores,EA/AM H5N1
03/27/2023,Wyoming,Teton,Mountain lion,Wild Carnivores,EA/AM H5N1
03/23/2023,Colorado,Chaffee,Striped skunk,Wild Carnivores,EA/AM H5N1
03/22/2023,Wyoming,Hot Springs,Domestic cat,Domestic/Companion,EA/AM H5N1
03/17/2023,Alaska,Matanuska-Susitna,Red fox,Wild Carnivores,EA H5N1
03/17/2023,Montana,Gallatin,Striped skunk,Wild Carnivores,EA/AM H5N1
03/14/2023,Montana,Park,Striped skunk,Wild Carnivores,EA H5N1
03/14/2023,California,Mono,Mountain lion,Wild Carnivores,EA/AM H5N1
03/14/2023,California,Mono,Mountain lion,Wild Carnivores,EA/AM H5N1
03/10/2023,New Mexico,San Juan,Striped skunk,Wild Carnivores,EA/AM H5N1
03/07/2023,Oregon,Douglas,American marten,Wild Carnivores,EA H5N1
03/06/2023,Texas,Carson,Striped skunk,Wild Carnivores,EA/AM H5N1
03/03/2023,California,Trinity,Fisher,Wild Carnivores,EA H5N1
03/02/2023,Colorado,Larimer,Striped skunk,Wild Carnivores,EA/AM H5N1
02/28/2023,Montana,Lake,Raccoon,Wild Carnivores,EA/AM H5N1
02/28/2023,Montana,Custer,Striped skunk,Wild Carnivores,EA/AM H5N1
02/28/2023,Montana,Custer,Striped skunk,Wild Carnivores,EA/AM H5N1
02/24/2023,Kansas,Lincoln,Striped skunk,Wild Carnivores,EA/AM H5N1
02/21/2023,Colorado,Larimer,Striped skunk,Wild Carnivores,EA/AM H5N1
02/21/2023,Colorado,Larimer,Striped skunk,Wild Carnivores,EA/AM H5N1
02/21/2023,Colorado,Larimer,Striped skunk,Wild Carnivores,EA H5N1
02/21/2023,Colorado,Larimer,Striped skunk,Wild Carnivores,EA/AM H5N1
02/20/2023,New York,Tompkins,Striped skunk,Wild Carnivores,EA/AM H5N1
02/14/2023,Colorado,Grand,Mountain lion,Wild Carnivores,EA/AM H5N1
02/14/2023,Colorado,Jefferson,Bobcat,Domestic/Companion,EA/AM H5N1
02/14/2023,California,Butte,Mountain lion,Wild Carnivores,EA/AM H5N1
02/09/2023,Montana,Sanders,Raccoon,Wild Carnivores,EA H5N1
02/09/2023,Utah,Salt Lake,Mountain lion,Wild Carnivores,EA/AM H5N1
02/09/2023,Montana,Treasure,Domestic cat,Domestic/Companion,EA/AM H5N1
02/07/2023,Colorado,El Paso,Bobcat,Domestic/Companion,EA H5N1
02/03/2023,Wyoming,Big Horn,Mountain lion,Wild Carnivores,EA/AM H5N1
02/03/2023,Wyoming,Natrona,Mountain lion,Wild Carnivores,EA/AM H5N1
02/03/2023,Wyoming,Big Horn,Mountain lion,Wild Carnivores,EA/AM H5N1
02/02/2023,Colorado,Gunnison,Mountain lion,Wild Carnivores,EA/AM H5N1
02/01/2023,New Mexico,Valencia,Striped skunk,Wild Carnivores,EA/AM H5N1
01/27/2023,Kansas,Rawlins,Striped skunk,Wild Carnivores,EA/AM H5N1
01/25/2023,Colorado,Boulder,Mountain lion,Wild Carnivores,EA/AM H5N1
01/24/2023,Colorado,Pueblo,Red fox,Wild Carnivores,EA/AM H5N1
01/23/2023,Oregon,Crook,Striped skunk,Wild Carnivores,EA/AM H5N1
01/23/2023,Oregon,Crook,Striped skunk,Wild Carnivores,EA/AM H5N1
01/21/2023,Nebraska,Madison,Domestic cat,Domestic/Companion,EA/AM H5N1
01/17/2023,Colorado,Gunnison,Mountain lion,Wild Carnivores,EA/AM H5N1
01/11/2023,Washington,Spokane,Bobcat,Domestic/Companion,EA H5N1
01/10/2023,Nebraska,Madison,Domestic cat,Domestic/Companion,EA/AM H5N1
01/09/2023,Wisconsin,Dane,Red fox,Wild Carnivores,EA/AM H5N1
01/09/2023,Colorado,Huerfano,American black bear,Wild Carnivores,EA/AM H5N1
01/08/2023,Wyoming,Hot Springs,Red fox,Wild Carnivores,EA/AM H5N1
12/27/2022,California,Butte,Bobcat,Domestic/Companion,EA/AM H5N1
12/27/2022,Colorado,Alamosa,Red fox,Wild Carnivores,EA/AM H5N1
12/27/2022,Oregon,Linn,Domestic cat,Domestic/Companion,EA/AM H5N1
12/26/2022,North Carolina,Hyde,American black bear,Wild Carnivores,EA/AM H5N1
12/21/2022,Nebraska,Lancaster1,Mountain lion (captive),Captive/Zoo,EA/AM H5N1
12/21/2022,Nebraska,Lancaster1,Amur tiger,Captive/Zoo,EA/AM H5N1
12/19/2022,Oregon,Curry,Raccoon,Wild Carnivores,EA H5N1
12/19/2022,Oregon,Linn,Domestic cat,Domestic/Companion,EA/AM H5N1
12/16/2022,Montana,Flathead,Grizzly bear,Wild Carnivores,EA/AM H5N1
12/16/2022,Montana,Cascade,Striped skunk,Wild Carnivores,EA/AM H5N1
12/07/2022,Washington,Island,Raccoon,Wild Carnivores,EA H5N1
12/07/2022,South Dakota,Spink,Red fox,Wild Carnivores,EA/AM H5N1
11/29/2022,Alaska,Kodiak Island,Kodiak bear,Wild Carnivores,EA H5N1
11/28/2022,Oregon,Columbia,Skunk (unidentified),Wild Carnivores,EA/AM H5N1
11/28/2022,Oregon,Columbia,Skunk (unidentified),Wild Carnivores,EA/AM H5N1
11/28/2022,Oregon,Columbia,Skunk (unidentified),Wild Carnivores,EA/AM H5N1
11/28/2022,Oregon,Columbia,Skunk (unidentified),Wild Carnivores,EA/AM H5N1
11/22/2022,Montana,Madison,Red fox,Wild Carnivores,EA H5N1
11/15/2022,Wisconsin,Douglas,Striped skunk,Wild Carnivores,EA/AM H5N1
11/15/2022,Wisconsin,Douglas,Striped skunk,Wild Carnivores,EA/AM H5N1
11/12/2022,Montana,Sanders,Domestic cat,Domestic/Companion,EA H5N1
11/04/2022,Idaho,Jefferson,Striped skunk,Wild Carnivores,EA/AM H5N1
11/04/2022,Idaho,Jefferson,Striped skunk,Wild Carnivores,EA/AM H5N1
11/04/2022,Idaho,Jefferson,Striped skunk,Wild Carnivores,EA/AM H5N1
11/01/2022,Wisconsin,Winnebago,North American river otter,Marine Mammals,EA/AM H5N1
10/31/2022,Montana,Teton,Grizzly bear,Wild Carnivores,EA/AM H5N1
10/21/2022,Minnesota,Itasca,Striped skunk,Wild Carnivores,EA/AM H5N1
10/20/2022,New York,Tompkins,Red fox,Wild Carnivores,EA H5N1
10/20/2022,Montana,Gallatin,Skunk (unidentified),Wild Carnivores,EA H5N1
10/20/2022,Alaska,Hoonah-Angoon,American black bear,Wild Carnivores,EA/AM H5N1
10/17/2022,Colorado,Weld,Striped skunk,Wild Carnivores,EA/AM H5N1
10/04/2022,Illinois,Cook,Virginia opossum,Rodents/Small Mammals,EA/AM H5N1
09/20/2022,Idaho,Madison,Red fox,Wild Carnivores,EA H5N1
09/19/2022,New York,Cayuga,Red fox,Wild Carnivores,EA/AM H5N1
09/19/2022,New York,Cayuga,Red fox,Wild Carnivores,EA/AM H5N1
09/19/2022,New York,Cayuga,Red fox,Wild Carnivores,EA/AM H5N1
09/19/2022,New York,Cayuga,Red fox,Wild Carnivores,EA/AM H5N1
09/17/2022,New York,Albany1,Amur Leopard,Captive/Zoo,EA H5N1
07/22/2022,Idaho,Ada,Skunk (unidentified),Wild Carnivores,EA/AM H5N1
07/13/2022,Maine,York,Harbor seal,Marine Mammals,EA H5N1
07/10/2022,Maine,York,Harbor seal,Marine Mammals,EA H5N1
07/09/2022,Maine,Cumberland,Harbor seal,Marine Mammals,EA H5N1
07/09/2022,Maine,York,Harbor seal,Marine Mammals,EA H5N1
07/08/2022,Maine,Cumberland,Harbor seal,Marine Mammals,EA H5N1
07/07/2022,Maine,Cumberland,Harbor seal,Marine Mammals,EA H5N1
07/05/2022,Maine,Sagadahoc,Harbor seal,Marine Mammals,EA H5N1
07/02/2022,Maine,Cumberland,Harbor seal,Marine Mammals,EA H5N1
07/02/2022,Maine,Lincoln,Harbor seal,Marine Mammals,EA H5N1
07/01/2022,Maine,Cumberland,Harbor seal,Marine Mammals,EA H5N1
07/01/2022,Maine,Sagadahoc,Grey seal,Marine Mammals,EA H5N1
06/29/2022,Washington,Stevens,Raccoon,Wild Carnivores,EA/AM H5N1
06/29/2022,Maine,Cumberland,Harbor seal,Marine Mammals,EA H5N1
06/28/2022,Maine,Cumberland,Harbor seal,Marine Mammals,EA H5N1
06/27/2022,Maine,Lincoln,Harbor seal,Marine Mammals,EA H5N1
06/26/2022,Maine,Sagadahoc,Harbor seal,Marine Mammals,EA H5N1
06/24/2022,Maine,Cumberland,Harbor seal,Marine Mammals,EA H5N1
06/22/2022,Maine,York,Harbor seal,Marine Mammals,EA H5N1
06/20/2022,Michigan,Iron,Raccoon,Wild Carnivores,EA H5N1
06/13/2022,Alaska,Nome Census Area,Red fox,Wild Carnivores,EA/AM H5N1
06/07/2022,Idaho,Adams,Striped skunk,Wild Carnivores,EA/AM H5N1
06/07/2022,Idaho,Adams,Striped skunk,Wild Carnivores,EA/AM H5N1
06/06/2022,Washington,Franklin,Raccoon,Wild Carnivores,EA/AM H5N1
06/05/2022,Idaho,Latah,Striped skunk,Wild Carnivores,EA/AM H5N1
06/01/2022,Michigan,Muskegon,Red fox,Wild Carnivores,EA/AM H5N1
05/31/2022,Michigan,Chippewa,Red fox,Wild Carnivores,EA H5N1
05/29/2022,Minnesota,Scott,Red fox,Wild Carnivores,EA/AM H5N1
05/26/2022,Utah,Salt Lake,Red fox,Wild Carnivores,EA H5N1
05/24/2022,Utah,Salt Lake,Red fox,Wild Carnivores,EA/AM H5N1
05/23/2022,North Dakota,Dickey,Red fox,Wild Carnivores,EA/AM H5N1
05/23/2022,North Dakota,Dickey,Red fox,Wild Carnivores,EA/AM H5N1
05/20/2022,New York,Erie,Red fox,Wild Carnivores,EA H5N1
05/20/2022,Iowa,Buchanan,Virginia opossum,Rodents/Small Mammals,EA/AM H5N1
05/20/2022,Iowa,Buchanan,Virginia opossum,Rodents/Small Mammals,EA/AM H5N1
05/19/2022,Michigan,Osceola,Red fox,Wild Carnivores,EA H5N1
05/18/2022,North Dakota,Burleigh,Red fox,Wild Carnivores,EA/AM H5N1
05/18/2022,Michigan,Otsego,Red fox,Wild Carnivores,EA H5N1
05/18/2022,Michigan,Bay,Red fox,Wild Carnivores,EA H5N1
05/15/2022,Michigan,Bay,Red fox,Wild Carnivores,EA/AM H5N1
05/14/2022,Michigan,Gladwin,Red fox,Wild Carnivores,EA/AM H5N1
05/13/2022,Minnesota,Itasca,Red fox,Wild Carnivores,EA/AM H5N1
05/11/2022,Iowa,Cedar,Red fox,Wild Carnivores,EA/AM H5N1
05/10/2022,Minnesota,Hennepin,Red fox,Wild Carnivores,EA/AM H5N1
05/10/2022,Minnesota,Washington,Red fox,Wild Carnivores,EA/AM H5N1
05/10/2022,Minnesota,Dakota,Red fox,Wild Carnivores,EA/AM H5N1
05/10/2022,Minnesota,Hennepin,Red fox,Wild Carnivores,EA/AM H5N1
05/10/2022,New York,Niagara,Red fox,Wild Carnivores,EA H5N1
05/10/2022,Alaska,Aleutians West,Red fox,Wild Carnivores,EA H5N1
05/10/2022,Minnesota,Stearns,Red fox,Wild Carnivores,EA H5N1
05/10/2022,Michigan,Midland,Red fox,Wild Carnivores,EA H5N1
05/10/2022,Michigan,Midland,Red fox,Wild Carnivores,EA H5N1
05/06/2022,Iowa,Hancock,Red fox,Wild Carnivores,EA/AM H5N1
05/06/2022,Wisconsin,Grant,Red fox,Wild Carnivores,EA H5N1
05/06/2022,Wisconsin,Grant,Red fox,Wild Carnivores,EA H5N1
05/05/2022,Wisconsin,Dane,Red fox,Wild Carnivores,EA/AM H5N1
05/05/2022,Wisconsin,Lincoln,Bobcat,Domestic/Companion,EA H5N1
05/05/2022,Michigan,Osceola,Red fox,Wild Carnivores,EA H5N1
05/03/2022,Wisconsin,Adams,Red fox,Wild Carnivores,EA H5N1
05/03/2022,Wisconsin,Adams,Red fox,Wild Carnivores,EA H5N1
05/03/2022,Michigan,Wexford,Coyote,Wild Carnivores,EA/AM H5N1
04/27/2022,New York,Erie,Red fox,Wild Carnivores,EA H5N1
04/27/2022,New York,Erie,Red fox,Wild Carnivores,EA H5N1
04/24/2022,Wisconsin,Waushara,Red fox,Wild Carnivores,EA H5N1
04/24/2022,Wisconsin,Lincoln,Bobcat,Domestic/Companion,EA H5N1
04/22/2022,Minnesota,Anoka,Red fox,Wild Carnivores,EA/AM H5N1
04/20/2022,Nebraska,Lancaster,Grizzly bear,Wild Carnivores,EA/AM H5N1
04/19/2022,Wisconsin,Rock,Red fox,Wild Carnivores,EA/AM H5N1
04/19/2022,Wisconsin,Rock,Red fox,Wild Carnivores,EA/AM H5N1
04/15/2022,New York,St. Lawrence,Red fox,Wild Carnivores,EA/AM H5N1
04/15/2022,New York,St Lawrence,Red fox,Wild Carnivores,EA/AM H5N1
04/14/2022,Michigan,Lapeer,Red fox,Wild Carnivores,EA/AM H5N1
04/14/2022,Wisconsin,St Croix,Fisher,Wild Carnivores,EA/AM H5N1
04/13/2022,Michigan,St Clair,Red fox,Wild Carnivores,EA/AM H5N1
04/12/2022,Wisconsin,Dane,Red fox,Wild Carnivores,EA H5N1
04/11/2022,Wisconsin,Jefferson,Red fox,Wild Carnivores,EA H5N1
04/11/2022,New York,Tompkins,Red fox,Wild Carnivores,EA H5N1
04/09/2022,Wisconsin,Jefferson,Red fox,Wild Carnivores,EA H5N1
04/09/2022,Wisconsin,Jefferson,Red fox,Wild Carnivores,EA/AM H5N1
04/01/2022,Michigan,Macomb,Red fox,Wild Carnivores,EA/AM H5N1
03/30/2022,Florida,Dixie,Bottlenose dolphin,Marine Mammals,EA/AM H5N1
